t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1
1619.46,-0,0,-0,0.0361725,-0,0,-0.0199418,0.057876
1619.51,-0,0,-0,0.0451433,-0,0,-0.0199418,0.0775538
1619.56,-0,0,-0,0.0549822,-0,0,-0.0122718,0.0717662
1619.61,-0,0,-0,0.0726344,-0,0,-0.0199418,0.0795795
1619.66,-0,0,-0,0.0732131,-0,0,-0.0199418,0.0798689
1619.7,-0,0,-0,0.0772645,-0,0,-0.0199418,0.0798689
1619.75,-0,0,-0,0.0798689,-0,0,-0.0199418,0.0798689
1619.8,-0,0,-0,0.0798689,-0,0,-0.0199418,0.0897078
1619.85,-0,0,-0,0.0795795,-0,0,-0.0199418,0.0882609
1619.9,-0,0,-0,0.0871034,-0,0,-0.0199418,0.0899972
1619.94,-0,0,-0,0.0876821,-0,0,-0.0199418,0.0899972
1619.99,-0,0,-0,0.0894184,-0,0,-0.0199418,0.0899972
1620.04,-0,0,-0,0.0894184,-0,0,-0.0199418,0.0899972
1620.09,-0,0,-0,0.0897078,-0,0,-0.0184078,0.0995467
1620.14,-0,0,-0,0.0897078,-0,0,-0.0199418,0.100125
1620.18,-0,0,-0,0.0972317,-0,0,-0.0199418,0.100125
1620.23,-0,0,-0,0.100415,-0,0,-0.0199418,0.116041
1620.28,-0,0,-0,0.100125,-0,0,-0.0199418,0.155108
1620.33,-0,0,-0,0.112279,-0,0,-0.0199418,0.17739
1620.38,-0,0,-0,0.145269,-0,0,-0.0199418,0.187808
1620.42,-0,0,-0,0.172181,-0,0,-0.0199418,0.207485
1620.47,-0,0,-0,0.185203,-0,0,-0.0276117,0.219639
1620.52,-0,0,-0,0.202566,-0,0,-0.0199418,0.237581
1620.57,-0,0,-0,0.216456,-0,0,-0.0199418,0.24742
1620.62,-0,0,-0,0.232662,-0,0,-0.0199418,0.285039
1620.66,-0,0,-0,0.244526,-0,0,-0.00460194,0.316871
1620.71,-0,0,-0,0.274911,-0,0,-0.0199418,0.337417
1620.76,-0,0,-0,0.3079,-0,0,-0.0199418,0.367223
1620.81,-0,0,0.00153398,0.323816,-0,0,-0.0199418,0.385744
1620.86,-0,0,-0,0.340311,-0,0,-0.0199418,0.416997
1620.9,-0,0,0.00153398,0.350729,-0,0,-0.0199418,0.438989
1620.95,-0,0,-0,0.366355,-0,0,-0.0199418,0.492814
1621,-0,0,0.00153398,0.376194,-0,0,-0.0199418,0.499759
1621.05,-0,0,-0,0.377352,-0,0,-0.0199418,0.5368
1621.1,-0,0,0.00153398,0.377352,-0,0,-0.0276117,0.549533
1621.14,-0,0,-0,0.37793,-0,0,-0.0199418,0.567474
1621.19,-0,0,0.00153398,0.37793,-0,0,-0.0122718,0.596991
1621.24,-0,0,0.00153398,0.37793,-0,0,-0.0184078,0.599306
1621.29,-0,0,-0,0.37822,-0,0,-0.0199418,0.606251
1621.34,-0,0,-0,0.37822,-0,0,-0.0199418,0.617826
1621.38,-0,0,0.00153398,0.378509,-0,0,-0.0199418,0.619852
1621.43,-0,0,0.00153398,0.378509,-0,0,-0.0199418,0.627955
1621.48,-0,0,0.00153398,0.378509,-0,0,-0.0214757,0.620431
1621.53,-0,0,0.00153398,0.378509,-0,0,-0.0199418,0.620141
1621.58,-0,0,0.00153398,0.378509,-0,0,-0.0199418,0.612039
1621.62,-0,0,-0,0.378509,-0,0.00173628,-0.0199418,0.509309
1621.67,-0,0,0.00153398,0.378509,-0,0.00954954,-0.0199418,0.390084
1621.72,-0,0,-0,0.378509,-0,0.00983892,-0.0199418,0.373879
1621.77,-0,0,0.00153398,0.37822,-0,0.0101283,-0.0276117,0.352465
1621.82,-0,0,0.00153398,0.376194,-0,0.0101283,-0.0199418,0.305296
1621.86,-0,0,-0,0.362883,-0,0.00202566,-0.0199418,0.285039
1621.91,-0,0,-0,0.319186,-0,0.00954954,-0.0276117,0.230636
1621.96,-0,0,-0,0.288801,-0,0.0101283,-0.0199418,0.193306
1622.01,-0,0,-0.00153398,0.244815,-0,0.0101283,-0.0199418,0.182599
1622.06,-0,0,-0,0.202277,-0,0.00028938,-0.0199418,0.136877
1622.1,-0,0,-0,0.184624,-0,0,-0.0199418,0.095206
1622.15,-0,0,-0,0.149899,-0,0.00810264,-0.0199418,0.0726344
1622.2,-0,0,-0,0.105624,-0,0.00839202,-0.0214757,0.0541141
1622.25,-0,0,-0,0.0778432,-0,0.00954954,-0.0199418,0.0347256
1622.3,-0,0,-0,0.0587441,-0,0.00202566,-0.0199418,0.0300955
1622.34,-0,0,-0,0.0399344,-0,0.00954954,-0.0199418,0.0300955
1622.39,-0,0,-0,0.0315424,-0,0.0101283,-0.0199418,0.0300955
