t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
12.0546,0.541495,0.0599017,-0,0.0795795,0.550699,0.0766857,-0,0.0720556,0.0144568,0.019105,97.4576,95.7279
12.1026,0.541495,0.0726344,-0,0.0795795,0.552233,0.0798689,-0,0.0717662,0.0161555,0.0184932,96.3384,95.7279
12.1506,0.541495,0.0743707,-0,0.0743707,0.559903,0.0975211,-0,0.0781326,0.0166132,0.0177482,96.1858,96.1858
12.1986,0.541495,0.0766857,-0,0.0714769,0.559903,0.107939,-0,0.0703193,0.0166132,0.0177482,95.9823,96.4402
12.2465,0.547631,0.0908653,-0,0.0761069,0.559903,0.089129,-0,0.07003,0.0151658,0.0170294,94.7359,96.0332
12.2946,0.550699,0.103019,-0,0.072345,0.559903,0.0899972,-0,0.07003,0.0152971,0.0170294,93.6676,96.3638
12.3425,0.552233,0.0931804,-0,0.0697406,0.559903,0.0899972,-0,0.07003,0.0166132,0.0171464,94.5325,96.5928
12.3906,0.552233,0.0897078,-0,0.0697406,0.559903,0.107649,-0,0.07003,0.015748,0.0187083,94.8377,96.5928
12.4385,0.552233,0.0899972,-0,0.0697406,0.569107,0.109964,-0,0.07003,0.0155563,0.0161245,94.8122,96.5928
12.4866,0.552233,0.101572,-0,0.0697406,0.570641,0.158001,-0,0.07003,0.0155563,0.0184932,93.7948,96.5928
12.5345,0.556835,0.106781,-0,0.0697406,0.570641,0.151925,0.0076699,0.07003,0.0166132,0.0174642,93.337,96.5928
12.5825,0.561437,0.142664,-0,0.0697406,0.570641,0.159738,-0,0.07003,0.0159374,0.0184932,90.1829,96.5928
12.6306,0.562971,0.151925,0.00306796,0.0697406,0.570641,0.126459,-0,0.07003,0.0150997,0.0177482,89.3689,96.5928
12.6785,0.562971,0.156265,0.00306796,0.0697406,0.578311,0.110543,-0,0.07003,0.0160624,0.0167332,88.9874,96.5928
12.7265,0.562971,0.133983,-0.00153398,0.0697406,0.570641,0.102151,-0,0.07003,0.0168819,0.0177482,90.946,96.5928
12.7745,0.567573,0.114594,-0,0.0697406,0.570641,0.117778,-0,0.07003,0.0153948,0.0180555,92.6502,96.5928
12.8226,0.569107,0.104177,-0,0.0697406,0.570641,0.148741,-0,0.07003,0.0164317,0.0179165,93.5659,96.5928
12.8706,0.569107,0.112569,-0,0.0697406,0.579845,0.149899,-0,0.07003,0.0168819,0.0170294,92.8282,96.5928
12.9186,0.569107,0.138902,-0,0.0697406,0.579845,0.142086,-0,0.07003,0.0140712,0.0173781,90.5136,96.5928
12.9666,0.570641,0.147294,-0,0.0697406,0.579845,0.144979,-0,0.0604804,0.0168819,0.0164012,89.7759,96.5928
13.0146,0.572175,0.143532,-0,0.0697406,0.587515,0.322659,-0,0.0599017,0.0148661,0.0168819,90.1066,96.5928
13.0625,0.572175,0.143532,-0,0.0630848,0.590583,0.100994,-0,0.0503521,0.0161555,0.0167631,90.1066,97.1778
13.1105,0.576777,0.207485,-0,0.060191,0.590583,0.107939,-0,0.0596123,0.0138924,0.0161245,84.4852,97.4322
